iter	Logloss
0	0.6604108767
1	0.6382964657
2	0.6104683939
3	0.5910441963
4	0.5670827638
5	0.5507985702
6	0.533036202
7	0.5201274007
8	0.5054123513
9	0.4914697937
10	0.4807510626
11	0.4733161645
12	0.4681239785
13	0.4611027744
14	0.4559967327
15	0.4517860051
16	0.4475863999
17	0.4420940957
18	0.4381575231
19	0.4322646672
20	0.4284527781
21	0.4250923949
22	0.4224807226
23	0.4189327119
24	0.4169898186
25	0.4132335871
26	0.4104749271
27	0.4092228338
28	0.406946729
29	0.4044940982
30	0.4024265118
31	0.4009455051
32	0.3995690142
33	0.3969862602
34	0.3950331297
35	0.3941115591
36	0.3929099868
37	0.3922399309
38	0.3910162366
39	0.3898164504
40	0.3887272338
41	0.3872996225
42	0.3860844058
43	0.3844425513
44	0.383397903
45	0.3828119194
46	0.3813147754
47	0.3807594829
48	0.3798706413
49	0.3783461526
50	0.3779049705
51	0.3765529651
52	0.3750431365
53	0.3742466938
54	0.3734321725
55	0.372491143
56	0.3716348844
57	0.3707426385
58	0.369637332
59	0.3692933391
60	0.3688045409
61	0.368090285
62	0.3675684569
63	0.3666480952
64	0.3662173972
65	0.3646543833
66	0.3642523036
67	0.363550455
68	0.3629094666
69	0.3626447988
70	0.3620145243
71	0.3607291956
72	0.3601400678
73	0.3593509202
74	0.3583482362
75	0.3577118387
76	0.3570437065
77	0.3568184918
78	0.3564272378
79	0.3559883226
80	0.3554944935
81	0.355137917
82	0.354881017
83	0.3544525486
84	0.3538824533
85	0.3534976829
86	0.3530979434
87	0.3525503802
88	0.3519277369
89	0.3515718158
90	0.3510004064
91	0.3505691133
92	0.3502567931
93	0.3497241878
94	0.3493496616
95	0.3488654383
96	0.3486011587
97	0.3481144918
98	0.34780632
99	0.3473977928
100	0.3465047254
101	0.3460422567
102	0.3457363074
103	0.3453020195
104	0.3449740353
105	0.3445314913
106	0.3442283973
107	0.3438691281
108	0.3436344732
109	0.3431446613
110	0.342932792
111	0.3426163773
112	0.3423006794
113	0.3419833631
114	0.3414956032
115	0.3410440468
116	0.3405236489
117	0.3399194415
118	0.3394549788
119	0.3389198597
120	0.3385491811
121	0.3381096751
122	0.3371291903
123	0.3365510648
124	0.3360343372
125	0.3357170846
126	0.335252785
127	0.334824682
128	0.3344919817
129	0.3341412545
130	0.3335272773
131	0.3329213384
132	0.3325239151
133	0.3321146803
134	0.3318320551
135	0.331403486
136	0.3309068994
137	0.33055513
138	0.3302679721
139	0.3299373332
140	0.3293940233
141	0.3292611943
142	0.3288565161
143	0.3285042265
144	0.3279270055
145	0.3277270923
146	0.3274624717
147	0.3271207168
148	0.3267214407
149	0.3263184685
150	0.3259509976
151	0.3255729474
152	0.3252645559
153	0.324774012
154	0.3244029201
155	0.3238795394
156	0.3235899338
157	0.3233037137
158	0.3230764177
159	0.3228084717
160	0.3223631639
161	0.3216928205
162	0.3211996686
163	0.3205986564
164	0.3202596393
165	0.319931384
166	0.3188773973
167	0.3184737005
168	0.3177522766
169	0.317332771
170	0.3169981886
171	0.3165601376
172	0.316206238
173	0.315881487
174	0.3155133921
175	0.3151679081
176	0.3147385288
177	0.3141397196
178	0.313806846
179	0.3134077666
180	0.3127573638
181	0.3123467999
182	0.3120594304
183	0.3116053953
184	0.3112398271
185	0.3109470162
186	0.3106338708
187	0.3099983909
188	0.3095342034
189	0.309216639
190	0.3087624381
191	0.3083878032
192	0.3080376814
193	0.3075865983
194	0.3071053147
195	0.3068070043
196	0.30609354
197	0.3054813328
198	0.3049251181
199	0.3046482127
200	0.304135399
201	0.3036788329
202	0.3033495032
203	0.30268742
204	0.3021129655
205	0.3017457214
206	0.3010730176
207	0.3003210443
208	0.2993588572
209	0.2991070032
210	0.2986863908
211	0.298033784
212	0.2975502923
213	0.2971088967
214	0.2967437828
215	0.296297974
216	0.2957324598
217	0.295036363
218	0.2946096241
219	0.2940722477
220	0.2935546577
221	0.2932787116
222	0.292526826
223	0.2919043056
224	0.2910757009
225	0.2905281239
226	0.2901338653
227	0.289614313
228	0.2891244952
229	0.2885395963
230	0.2881730302
231	0.2878145154
232	0.2874659315
233	0.2869277521
234	0.2864609743
235	0.2861504131
236	0.2858081132
237	0.2850137448
238	0.2845446055
239	0.2840229344
240	0.283674319
241	0.2833186806
242	0.2828829744
243	0.2824151999
244	0.281978642
245	0.2814123221
246	0.2810353759
247	0.2802895688
248	0.279703734
249	0.2791531968
250	0.2786629079
251	0.278306285
252	0.2775318916
253	0.2768457238
254	0.2764260982
255	0.2760242121
256	0.275626689
257	0.2751188267
258	0.2746943342
259	0.2742307176
260	0.2737853269
261	0.2732689457
262	0.2727892383
263	0.2724065863
264	0.271856046
265	0.2713634816
266	0.2708278445
267	0.2703739783
268	0.2697291899
269	0.269326688
270	0.2689158417
271	0.2684646267
272	0.2681111663
273	0.2676616741
274	0.2671699556
275	0.2665861613
276	0.2662638123
277	0.2657189311
278	0.2653616374
279	0.2650107077
280	0.264522252
281	0.2640329162
282	0.2634326305
283	0.2629679578
284	0.2624411476
285	0.2620060668
286	0.2616526879
287	0.2612604387
288	0.2609614636
289	0.2604767865
290	0.2599105297
291	0.2594587361
292	0.2591523093
293	0.258790058
294	0.2582425579
295	0.2578493703
296	0.2571768482
297	0.2567719512
298	0.2564602826
299	0.2560908636
300	0.2556924689
301	0.2553812138
302	0.2549782716
303	0.2546447334
304	0.2543376367
305	0.2538110396
306	0.2534946424
307	0.253215667
308	0.2526867989
309	0.2523111943
310	0.2520323253
311	0.2514848492
312	0.2511418824
313	0.2506062485
314	0.2502565115
315	0.2498396585
316	0.2495287127
317	0.2492747644
318	0.2488600712
319	0.2482758642
320	0.2478920831
321	0.2475054814
322	0.2471752057
323	0.2467898439
324	0.2465063454
325	0.246143837
326	0.2456976022
327	0.2454070502
328	0.2450505381
329	0.2446470482
330	0.2442452361
331	0.2438598484
332	0.2433464204
333	0.2429969702
334	0.2425432824
335	0.2421338115
336	0.2417244439
337	0.2413518709
