iter	Logloss
338	0.2410329974
339	0.2407717844
340	0.2404911088
341	0.2400753542
342	0.2398217458
343	0.2395575863
344	0.2390696484
345	0.2386510787
346	0.2383515961
347	0.2379378335
348	0.2375960277
349	0.2371613907
350	0.2366309776
351	0.2362875449
352	0.2359362298
353	0.2354586124
354	0.2349101779
355	0.2346916646
356	0.2343999863
357	0.2340292127
358	0.2335908651
359	0.2331741449
360	0.2327824392
361	0.2324484766
362	0.2320726669
363	0.2314919394
364	0.2311569886
365	0.2308590899
366	0.2304329943
367	0.2301974906
368	0.2299050889
369	0.2295289743
370	0.2292118241
371	0.2288824404
372	0.2286220809
373	0.2282664368
374	0.227999806
375	0.2275432732
376	0.2272966872
377	0.2266903868
378	0.2264007678
379	0.2260973607
380	0.2258341641
381	0.225400904
382	0.2251278476
383	0.2244988047
384	0.2241948982
385	0.223899031
386	0.223566181
387	0.2231631369
388	0.2228342783
389	0.2223584221
390	0.2220716961
391	0.2218118917
392	0.2214352433
393	0.2210396837
394	0.2207131607
395	0.2202859236
396	0.2200705333
397	0.2197293329
398	0.2194524129
399	0.2190573707
